timestamp,frame_number,left_eye_x,left_eye_y,right_eye_x,right_eye_y,gaze_direction
1781820726.362389,1,740,402,629,397,Center
1781820726.520714,2,742,401,630,395,Center
1781820726.587811,3,742,400,632,394,Center
1781820726.6207051,4,743,399,632,394,Center
1781820726.652669,5,743,399,633,394,Center
1781820726.686988,6,744,399,633,394,Center
1781820726.721577,7,744,399,633,393,Center
1781820726.755667,8,744,398,633,393,Center
1781820726.7885811,9,744,398,633,392,Center
1781820726.819934,10,744,398,633,393,Center
1781820726.886255,11,744,400,634,394,Center
1781820726.921924,12,744,400,634,395,Center
1781820726.953208,13,745,400,633,395,Center
1781820726.986327,14,745,400,633,395,Center
1781820727.019572,15,744,400,634,395,Center
1781820727.053094,16,744,401,634,396,Center
1781820727.08588,17,744,402,634,396,Center
1781820727.29269,18,744,403,634,397,Center
1781820727.425929,19,745,402,635,397,Center
1781820727.453299,20,745,402,635,397,Center
1781820727.486641,21,745,403,635,397,Center
1781820727.5201962,22,745,403,635,397,Center
1781820727.5529568,23,745,403,635,397,Center
1781820727.586621,24,745,404,635,398,Center
1781820727.620847,25,744,404,635,398,Center
1781820727.652412,26,744,404,634,398,Center
1781820727.685794,27,744,404,634,398,Center
1781820727.7193248,28,744,404,634,399,Center
1781820727.753827,29,744,404,634,399,Center
1781820727.785952,30,744,404,634,399,Center
1781820727.823667,31,744,404,634,399,Center
1781820727.854347,32,744,404,634,399,Center
1781820727.887469,33,744,405,634,399,Center
1781820727.9194381,34,743,405,634,399,Center
1781820727.9522848,35,744,405,634,400,Center
1781820727.987818,36,744,404,635,399,Center
1781820728.020462,37,745,404,636,399,Center
1781820728.055368,38,745,404,636,398,Center
1781820728.088866,39,746,403,636,398,Center
1781820728.120202,40,746,404,636,398,Center
1781820728.1535091,41,746,403,636,398,Center
1781820728.187274,42,746,403,637,398,Center
1781820728.2233212,43,746,403,637,398,Center
1781820728.2551758,44,747,403,637,398,Center
1781820728.286658,45,749,403,639,396,Center
1781820728.323027,46,749,402,639,396,Center
1781820728.356142,47,750,402,639,396,Center
1781820728.3872,48,750,402,639,396,Center
1781820728.422244,49,750,401,639,395,Center
1781820728.455044,50,750,401,639,395,Center
1781820728.487686,51,750,402,639,395,Center
1781820728.52134,52,750,401,640,395,Center
1781820728.5552928,53,750,402,640,395,Center
1781820728.588114,54,750,401,640,395,Center
1781820728.621289,55,749,401,639,395,Center
1781820728.654237,56,748,402,639,397,Center
1781820728.6884952,57,748,403,638,398,Center
1781820728.718993,58,748,404,638,398,Center
1781820728.751699,59,747,404,638,398,Center
1781820728.787007,60,747,404,638,398,Center
1781820728.822129,61,748,404,638,398,Center
1781820728.852533,62,747,405,638,399,Center
1781820728.8873432,63,747,405,637,400,Center
1781820728.921328,64,747,405,638,399,Center
1781820728.953666,65,747,402,638,397,Center
1781820728.9871519,66,748,401,638,395,Center
1781820729.021413,67,748,402,639,396,Center
1781820729.053018,68,748,404,638,398,Center
1781820729.087324,69,747,404,638,399,Center
1781820729.120527,70,747,405,637,400,Center
1781820729.1549509,71,747,405,637,399,Center
1781820729.187158,72,747,404,637,399,Center
1781820729.219842,73,747,404,638,398,Center
1781820729.253987,74,747,403,637,398,Center
1781820729.2864609,75,747,403,637,398,Center
1781820729.320102,76,747,403,637,398,Center
1781820729.3537889,77,747,403,637,398,Center
1781820729.387375,78,747,403,638,398,Center
1781820729.419591,79,747,403,638,398,Center
1781820729.453695,80,747,403,638,397,Center
1781820729.4864159,81,747,403,638,398,Center
1781820729.5199602,82,747,403,638,398,Center
1781820729.552334,83,747,403,638,397,Center
1781820729.5880902,84,747,403,638,398,Center
1781820729.620057,85,747,403,638,398,Center
1781820729.6533911,86,747,403,638,398,Center
1781820729.686456,87,747,403,638,398,Center
1781820729.7202501,88,747,403,638,398,Center
1781820729.753797,89,747,403,638,398,Center
1781820729.786923,90,748,403,638,398,Center
1781820729.820113,91,747,403,638,397,Center
1781820729.855118,92,747,403,638,397,Center
1781820729.8873348,93,748,404,638,397,Center
1781820729.920373,94,747,404,638,398,Center
1781820729.9542289,95,747,403,637,398,Center
1781820729.986851,96,747,403,638,397,Center
1781820730.022354,97,747,402,638,397,Center
1781820730.053466,98,746,402,637,396,Center
1781820730.088127,99,746,402,636,396,Center
1781820730.121721,100,746,402,636,396,Center
1781820730.161959,101,745,402,636,397,Center
1781820730.1854641,102,746,402,636,397,Center
1781820730.252658,103,746,402,636,396,Center
1781820730.286199,104,746,401,636,396,Center
1781820730.32013,105,746,401,636,395,Center
1781820730.353256,106,746,401,636,396,Center
1781820730.3861609,107,746,402,637,396,Center
1781820730.4209878,108,747,402,637,396,Center
1781820730.4558651,109,747,402,637,396,Center
1781820730.4880068,110,747,402,637,396,Center
1781820730.5216389,111,747,402,638,396,Center
1781820730.554923,112,748,402,638,396,Center
1781820730.587824,113,748,402,638,396,Center
1781820730.622133,114,748,402,638,396,Center
1781820730.655669,115,749,402,639,396,Center
1781820730.687619,116,749,402,639,396,Center
1781820730.721625,117,749,402,639,396,Center
1781820730.7557719,118,749,401,639,396,Center
1781820730.789529,119,749,401,639,395,Center
1781820730.820864,120,749,402,639,395,Center
1781820730.855463,121,749,401,639,395,Center
1781820730.889904,122,749,402,639,395,Center
1781820730.9213161,123,749,401,639,395,Center
1781820730.9554539,124,750,402,639,396,Center
1781820730.988491,125,750,403,639,396,Center
1781820731.0213661,126,749,403,639,397,Center
1781820731.054694,127,750,402,639,397,Center
1781820731.088758,128,749,403,640,397,Center
1781820731.122617,129,750,404,640,397,Center
1781820731.154339,130,751,405,640,399,Center
1781820731.1890829,131,750,405,640,399,Center
1781820731.220405,132,750,404,640,398,Center
1781820731.254066,133,750,404,640,398,Center
1781820731.28794,134,750,404,640,398,Center
1781820731.320718,135,750,404,640,398,Center
1781820731.352693,136,751,404,641,398,Center
1781820731.3846679,137,751,404,641,397,Center
1781820731.418729,138,751,404,641,398,Center
1781820731.452257,139,751,404,641,398,Center
1781820731.4867709,140,751,405,641,399,Center
1781820731.5202072,141,750,405,641,399,Center
1781820731.55374,142,751,405,641,399,Center
1781820731.58902,143,750,405,641,399,Center
1781820731.623227,144,751,405,641,399,Center
1781820731.656441,145,751,405,641,399,Center
1781820731.684839,146,751,405,641,399,Center
1781820731.721191,147,750,405,641,399,Center
1781820731.7519329,148,750,405,641,399,Center
1781820731.788073,149,750,404,640,398,Center
1781820731.824018,150,750,404,640,398,Center
1781820731.8527539,151,750,404,640,399,Center
1781820731.887124,152,750,404,640,399,Center
1781820731.9211571,153,750,404,640,398,Center
1781820731.955616,154,749,403,640,398,Center
1781820731.988197,155,749,403,639,397,Center
1781820732.021538,156,749,403,639,397,Center
1781820732.054971,157,749,403,639,397,Center
1781820732.086826,158,749,403,639,397,Center
1781820732.120356,159,749,403,639,397,Center
1781820732.1536949,160,749,403,639,397,Center
1781820732.1879418,161,749,403,639,397,Center
1781820732.2199318,162,749,403,639,398,Center
1781820732.253919,163,749,403,640,397,Center
1781820732.287578,164,749,404,640,398,Center
1781820732.3207738,165,749,404,640,399,Center
1781820732.354034,166,750,405,640,399,Center
1781820732.387145,167,750,404,640,399,Center
1781820732.4209962,168,749,404,640,398,Center
1781820732.45329,169,749,404,640,398,Center
1781820732.486742,170,749,404,640,398,Center
1781820732.520292,171,749,404,640,398,Center
1781820732.553771,172,749,404,640,398,Center
1781820732.586808,173,749,404,640,398,Center
1781820732.62082,174,749,404,640,398,Center
1781820732.65512,175,749,403,639,398,Center
1781820732.686801,176,749,403,639,397,Center
1781820732.720651,177,749,403,639,397,Center
1781820732.755121,178,748,402,639,396,Center
1781820732.7881,179,748,402,638,396,Center
1781820732.81735,180,748,402,638,396,Center
1781820732.8551738,181,748,402,638,396,Center
1781820732.888458,182,748,402,638,396,Center
1781820732.921092,183,748,401,638,396,Center
1781820732.955043,184,748,401,638,396,Center
1781820732.9887621,185,747,401,638,396,Center
1781820733.0187001,186,747,401,638,396,Center
1781820733.0544891,187,747,401,638,396,Center
1781820733.087102,188,747,402,638,396,Center
1781820733.1207628,189,747,401,637,396,Center
1781820733.153452,190,747,401,638,396,Center
1781820733.18704,191,747,401,637,396,Center
1781820733.221953,192,747,402,637,396,Center
1781820733.2539241,193,747,402,638,396,Center
1781820733.286242,194,748,402,638,397,Center
1781820733.320868,195,741,406,640,400,Center
1781820733.3539698,196,743,405,642,400,Center
1781820733.3864472,197,745,405,642,399,Center
1781820733.419762,198,748,404,643,397,Center
1781820733.45488,199,747,404,643,398,Center
1781820733.4860091,200,748,404,643,398,Center
1781820733.518611,201,750,405,642,399,Center
1781820733.552002,202,751,406,642,400,Center
1781820733.586793,203,752,405,642,399,Center
1781820733.621471,204,751,403,643,397,Center
1781820733.65451,205,751,402,643,396,Center
1781820733.68854,206,751,402,643,396,Center
1781820733.719991,207,751,403,642,397,Center
1781820733.754484,208,751,405,642,400,Center
1781820733.787436,209,750,406,642,400,Center
1781820733.8214982,210,751,405,642,401,Center
1781820733.852941,211,751,405,642,399,Center
1781820733.887109,212,751,405,642,399,Center
1781820733.921238,213,752,405,643,399,Center
1781820733.9533498,214,753,405,642,399,Center
1781820733.986022,215,751,404,642,399,Center
1781820734.019441,216,752,404,643,398,Center
1781820734.05378,217,752,405,643,398,Center
1781820734.085686,218,752,405,643,399,Center
1781820734.1200771,219,752,405,643,399,Center
1781820734.152837,220,752,406,643,400,Center
1781820734.186089,221,752,406,643,400,Center
1781820734.219327,222,752,405,643,399,Center
1781820734.253226,223,752,405,643,398,Center
1781820734.2867799,224,752,405,643,398,Center
1781820734.3194828,225,753,405,643,398,Center
1781820734.352486,226,753,404,643,398,Center
1781820734.3855429,227,752,404,643,397,Center
1781820734.41956,228,752,403,643,397,Center
1781820734.452849,229,752,403,643,396,Center
1781820734.485343,230,752,403,644,396,Center
1781820734.519261,231,752,403,643,396,Center
1781820734.552835,232,752,402,644,396,Center
1781820734.585824,233,752,402,644,396,Center
1781820734.620078,234,753,402,644,396,Center
1781820734.654119,235,753,402,644,396,Center
1781820734.687018,236,754,402,644,396,Center
1781820734.7197921,237,754,403,644,396,Center
1781820734.753948,238,754,404,644,397,Center
1781820734.7856681,239,754,404,645,397,Center
1781820734.819654,240,754,404,645,398,Center
1781820734.854499,241,754,403,646,397,Center
1781820734.885843,242,755,403,646,397,Center
1781820734.919911,243,755,404,645,397,Center
1781820734.954326,244,756,404,645,398,Center
1781820734.9870121,245,756,404,646,398,Center
1781820735.020073,246,756,404,646,398,Center
1781820735.0525062,247,756,404,646,398,Center
1781820735.088059,248,756,404,645,398,Center
1781820735.1188,249,756,405,645,398,Center
1781820735.152034,250,756,405,645,398,Center
1781820735.1859689,251,755,405,645,398,Center
1781820735.219626,252,756,404,646,397,Center
1781820735.250765,253,755,403,647,396,Center
1781820735.2877,254,756,402,646,395,Center
1781820735.319927,255,757,401,646,394,Center
1781820735.3517911,256,757,401,646,394,Center
1781820735.38484,257,755,402,645,396,Center
1781820735.419156,258,755,405,644,399,Center
1781820735.4532878,259,754,407,644,401,Center
1781820735.485964,260,754,407,644,400,Center
1781820735.519586,261,754,404,645,398,Center
1781820735.553445,262,754,404,644,397,Center
1781820735.585633,263,755,403,645,397,Center
1781820735.619138,264,755,403,644,397,Center
1781820735.6529431,265,755,404,644,397,Center
1781820735.687644,266,755,404,644,397,Center
1781820735.718987,267,755,404,644,398,Center
1781820735.754534,268,755,404,644,397,Center
1781820735.7873762,269,755,404,644,397,Center
1781820735.819881,270,754,403,645,397,Center
1781820735.852706,271,755,402,645,396,Center
1781820735.886278,272,756,403,645,396,Center
1781820735.9206212,273,756,405,644,398,Center
1781820735.95262,274,754,406,644,400,Center
1781820735.985111,275,755,406,644,399,Center
1781820736.019329,276,755,404,645,397,Center
1781820736.0522602,277,756,403,646,396,Center
1781820736.085099,278,756,403,645,396,Center
1781820736.118593,279,756,404,645,396,Center
1781820736.15132,280,757,403,645,396,Center
1781820736.184064,281,756,403,645,396,Center
1781820736.218889,282,756,403,645,396,Center
1781820736.252188,283,756,403,645,396,Center
1781820736.285126,284,756,403,645,396,Center
1781820736.3179789,285,755,403,644,396,Center
1781820736.3506649,286,754,402,644,396,Center
1781820736.390039,287,754,402,643,396,Center
1781820736.41746,288,753,403,643,396,Center
1781820736.450963,289,752,403,643,396,Center
1781820736.485419,290,752,403,642,396,Center
1781820736.519014,291,752,402,641,396,Center
1781820736.5512052,292,751,401,641,395,Center
1781820736.58481,293,751,402,640,395,Center
1781820736.6181529,294,751,401,640,395,Center
1781820736.6513479,295,750,401,640,395,Center
1781820736.684661,296,750,401,640,395,Center
1781820736.718922,297,749,400,639,394,Center
1781820736.752701,298,749,400,639,394,Center
1781820736.7837188,299,749,400,638,395,Center
1781820736.818785,300,747,401,637,397,Center
1781820736.851203,301,747,401,637,397,Center
1781820736.884498,302,747,401,637,397,Center
1781820736.918033,303,747,401,637,396,Center
1781820736.95193,304,747,401,637,396,Center
1781820736.984156,305,746,401,636,396,Center
1781820737.017678,306,746,400,636,395,Center
1781820737.051467,307,746,399,636,394,Center
1781820737.084796,308,745,399,635,395,Center
1781820737.1178439,309,745,399,633,395,Center
1781820737.1505,310,744,399,632,396,Center
1781820737.185154,311,742,398,630,396,Center
1781820737.218018,312,738,397,627,396,Center
1781820737.251231,313,734,397,624,395,Center
1781820737.284506,314,730,395,619,394,Center
1781820737.318663,315,726,393,616,395,Center
1781820737.351112,316,722,394,612,397,Center
1781820737.384109,317,720,395,610,398,Center
1781820737.4186502,318,719,395,608,399,Center
1781820737.4517581,319,718,395,608,399,Center
1781820737.483753,320,718,395,607,399,Center
1781820737.5181289,321,717,395,606,399,Center
1781820737.5520818,322,717,395,606,400,Center
1781820737.584946,323,717,395,606,400,Center
1781820737.618003,324,717,395,606,400,Center
1781820737.6520278,325,717,395,608,400,Center
1781820737.684891,326,719,396,609,401,Center
1781820737.7179542,327,719,398,609,401,Center
1781820737.751202,328,720,398,609,401,Center
1781820737.785343,329,719,398,609,401,Center
1781820737.817842,330,720,398,610,401,Center
1781820737.851137,331,719,398,609,401,Center
1781820737.8854048,332,719,397,609,401,Center
1781820737.91801,333,719,397,609,400,Center
1781820737.9510322,334,719,397,609,400,Center
1781820737.984101,335,719,397,609,401,Center
1781820738.018293,336,718,397,608,400,Center
1781820738.050865,337,718,397,608,401,Center
1781820738.0840461,338,718,397,608,400,Center
1781820738.118208,339,719,396,609,399,Center
1781820738.1500978,340,721,394,611,396,Center
1781820738.184334,341,722,394,611,396,Center
1781820738.217386,342,723,394,613,397,Center
1781820738.25147,343,725,396,615,399,Center
1781820738.283635,344,725,397,616,401,Center
1781820738.3172102,345,726,397,615,401,Center
1781820738.3513448,346,725,397,616,401,Center
1781820738.384126,347,726,397,616,401,Center
1781820738.417461,348,726,397,616,401,Center
1781820738.4500391,349,724,396,615,400,Center
1781820738.4849448,350,723,396,613,401,Center
1781820738.517416,351,722,397,612,400,Center
1781820738.550816,352,722,397,611,401,Center
1781820738.5839849,353,720,397,611,401,Center
1781820738.616747,354,720,397,611,402,Center
1781820738.6510668,355,720,397,611,402,Center
1781820738.683981,356,721,398,611,403,Center
1781820738.717566,357,721,398,611,402,Center
1781820738.7506309,358,721,397,612,402,Center
1781820738.783533,359,722,397,612,402,Center
1781820738.81774,360,722,397,612,402,Center
1781820738.8502731,361,722,397,612,402,Center
1781820738.8836899,362,722,398,612,402,Center
1781820738.916714,363,722,397,612,402,Center
1781820738.9509592,364,723,397,613,402,Center
1781820738.983846,365,723,397,613,402,Center
1781820739.017044,366,723,398,613,402,Center
1781820739.050859,367,723,398,613,402,Center
1781820739.084028,368,723,398,613,403,Center
1781820739.116852,369,724,398,614,403,Center
1781820739.149956,370,723,399,614,403,Center
1781820739.184315,371,724,398,614,403,Center
1781820739.2169018,372,724,399,615,403,Center
1781820739.250416,373,724,398,615,402,Center
1781820739.28377,374,725,399,615,403,Center
1781820739.3172119,375,725,399,616,403,Center
1781820739.3506382,376,725,399,616,403,Center
1781820739.383436,377,725,399,616,403,Center
1781820739.418043,378,725,399,616,403,Center
1781820739.45061,379,725,399,616,403,Center
1781820739.484052,380,725,399,616,404,Center
1781820739.518027,381,725,400,616,404,Center
1781820739.550424,382,725,400,616,404,Center
1781820739.583853,383,725,400,616,404,Center
1781820739.616789,384,725,400,616,405,Center
1781820739.650012,385,724,400,615,405,Center
1781820739.682952,386,723,400,614,404,Center
1781820739.716625,387,723,400,614,404,Center
1781820739.750636,388,723,400,613,405,Center
